dataset,dataset_code,validation_design,repeat,outer_fold,split_id,split_seed,train_rows,test_rows,train_sources,test_sources,overlapping_source_count,test_rows_with_source_seen_in_training,test_source_seen_fraction,heldout_source_id
cell_viability,CV,leave_one_publication_out,1,11,CV_leave_one_publication_out_r01_f011,3691203163,596,12,74,1,0,0,0.0,doi:10.1002/biot.200900004
cell_viability,CV,leave_one_publication_out,1,12,CV_leave_one_publication_out_r01_f012,3691203163,606,2,74,1,0,0,0.0,doi:10.1002/jbm.a.34420
cell_viability,CV,leave_one_publication_out,1,13,CV_leave_one_publication_out_r01_f013,3691203163,604,4,74,1,0,0,0.0,doi:10.1002/jbm.a.36036
cell_viability,CV,leave_one_publication_out,1,14,CV_leave_one_publication_out_r01_f014,3691203163,566,42,74,1,0,0,0.0,doi:10.1002/mabi.201600472
cell_viability,CV,leave_one_publication_out,1,15,CV_leave_one_publication_out_r01_f015,3691203163,590,18,74,1,0,0,0.0,doi:10.1002/smll.201905505
cell_viability,CV,leave_one_publication_out,1,16,CV_leave_one_publication_out_r01_f016,3691203163,604,4,74,1,0,0,0.0,doi:10.1002/term.1682
cell_viability,CV,leave_one_publication_out,1,17,CV_leave_one_publication_out_r01_f017,3691203163,607,1,74,1,0,0,0.0,doi:10.1007/s00289-020-03421-y
cell_viability,CV,leave_one_publication_out,1,18,CV_leave_one_publication_out_r01_f018,3691203163,578,30,74,1,0,0,0.0,doi:10.1007/s10439-016-1704-5
cell_viability,CV,leave_one_publication_out,1,19,CV_leave_one_publication_out_r01_f019,3691203163,605,3,74,1,0,0,0.0,doi:10.1007/s10856-019-6258-2
cell_viability,CV,leave_one_publication_out,1,20,CV_leave_one_publication_out_r01_f020,3691203163,605,3,74,1,0,0,0.0,doi:10.1007/s13205-018-1341-9
cell_viability,CV,leave_one_publication_out,1,21,CV_leave_one_publication_out_r01_f021,3691203163,599,9,74,1,0,0,0.0,doi:10.1016/j.actbio.2014.06.034
cell_viability,CV,leave_one_publication_out,1,22,CV_leave_one_publication_out_r01_f022,3691203163,604,4,74,1,0,0,0.0,doi:10.1016/j.actbio.2014.09.023
cell_viability,CV,leave_one_publication_out,1,23,CV_leave_one_publication_out_r01_f023,3691203163,604,4,74,1,0,0,0.0,doi:10.1016/j.actbio.2014.09.033
cell_viability,CV,leave_one_publication_out,1,24,CV_leave_one_publication_out_r01_f024,3691203163,600,8,74,1,0,0,0.0,doi:10.1016/j.actbio.2018.10.028
cell_viability,CV,leave_one_publication_out,1,25,CV_leave_one_publication_out_r01_f025,3691203163,602,6,74,1,0,0,0.0,doi:10.1016/j.actbio.2020.07.016
cell_viability,CV,leave_one_publication_out,1,26,CV_leave_one_publication_out_r01_f026,3691203163,604,4,74,1,0,0,0.0,doi:10.1016/j.addma.2020.101640
cell_viability,CV,leave_one_publication_out,1,27,CV_leave_one_publication_out_r01_f027,3691203163,602,6,74,1,0,0,0.0,doi:10.1016/j.biomaterials.2015.05.031
cell_viability,CV,leave_one_publication_out,1,28,CV_leave_one_publication_out_r01_f028,3691203163,599,9,74,1,0,0,0.0,doi:10.1016/j.biomaterials.2016.07.038
cell_viability,CV,leave_one_publication_out,1,29,CV_leave_one_publication_out_r01_f029,3691203163,605,3,74,1,0,0,0.0,doi:10.1016/j.jmbbm.2017.12.018
cell_viability,CV,leave_one_publication_out,1,30,CV_leave_one_publication_out_r01_f030,3691203163,603,5,74,1,0,0,0.0,doi:10.1016/j.mtbio.2020.100078
cell_viability,CV,leave_one_publication_out,1,31,CV_leave_one_publication_out_r01_f031,3691203163,606,2,74,1,0,0,0.0,doi:10.1021/acs.biomac.5b00188
cell_viability,CV,leave_one_publication_out,1,32,CV_leave_one_publication_out_r01_f032,3691203163,596,12,74,1,0,0,0.0,doi:10.1021/acs.biomac.9b01204
