scenario_key,scenario_label,source_column,feature_mode,validation_design,repeat,source_seen_fraction,prediction_rows,publication_count,mae,rmse,bias,r2,macro_publication_mae
missingness_le_30,Prospective features with <=30% missingness,meta_primary_source_id,missingness_le_30,publication_grouped,2,0.0,608,75,12.951481527482613,17.326431893357977,1.4739458669285601,-0.03995274978903973,12.361843343693094
missingness_le_30,Prospective features with <=30% missingness,meta_primary_source_id,missingness_le_30,publication_grouped,3,0.0,608,75,13.416156019740198,17.562568803967615,1.6641659883742284,-0.06849234069121901,12.735596802634586
missingness_le_30,Prospective features with <=30% missingness,meta_primary_source_id,missingness_le_30,publication_grouped,4,0.0,608,75,13.333767142262104,17.62627312213818,2.32696512171668,-0.07625783636595851,12.3435730794126
missingness_le_30,Prospective features with <=30% missingness,meta_primary_source_id,missingness_le_30,publication_grouped,5,0.0,608,75,13.031881988773526,17.01618365816855,1.5835168854538721,-0.0030432615227709015,12.189704288621805
missingness_le_30,Prospective features with <=30% missingness,meta_primary_source_id,missingness_le_30,random_rowwise,1,0.9917763157894737,608,75,8.64617274836538,12.27165286523557,-0.4793305201499232,0.4783232767376431,8.817373054850131
missingness_le_30,Prospective features with <=30% missingness,meta_primary_source_id,missingness_le_30,random_rowwise,2,0.9950657894736842,608,75,9.01133785374499,12.949306560415426,-0.27148111862571467,0.41911740904445227,9.341402152407587
missingness_le_30,Prospective features with <=30% missingness,meta_primary_source_id,missingness_le_30,random_rowwise,3,0.9835526315789473,608,75,8.726835597038137,12.852262021195035,-0.25897299583758593,0.427791271829034,9.090632178437488
missingness_le_30,Prospective features with <=30% missingness,meta_primary_source_id,missingness_le_30,random_rowwise,4,0.9819078947368421,608,75,8.760436763148054,12.500404759179363,-0.23110929056570723,0.45869319463296887,8.942945016837736
missingness_le_30,Prospective features with <=30% missingness,meta_primary_source_id,missingness_le_30,random_rowwise,5,0.9917763157894737,608,75,8.83082686324983,12.813142782115069,-0.5000188267566134,0.4312693060685956,9.107055320398574
missingness_le_50,Prospective features with <=50% missingness,meta_primary_source_id,missingness_le_50,publication_grouped,1,0.0,608,75,12.678350000178757,17.17849660145143,1.8632192419937557,-0.022270062740658236,12.174063735772926
missingness_le_50,Prospective features with <=50% missingness,meta_primary_source_id,missingness_le_50,publication_grouped,2,0.0,608,75,12.774565089878598,17.1340600853656,1.7630227235377358,-0.016988184113136295,12.351690763893995
missingness_le_50,Prospective features with <=50% missingness,meta_primary_source_id,missingness_le_50,publication_grouped,3,0.0,608,75,12.466214897975423,16.967453376337307,1.9205467999717418,0.002693464586743022,11.869015657314668
missingness_le_50,Prospective features with <=50% missingness,meta_primary_source_id,missingness_le_50,publication_grouped,4,0.0,608,75,12.65598237012941,17.03810393208468,1.9503096244453586,-0.005629169775401177,11.956961002966814
