dataset,target_key,target_family,target_column,target_label,unit,baseline,baseline_display_name,validation_design,repeat,prediction_rows,publication_count,source_seen_fraction,fallback_fraction,mae,median_absolute_error,rmse,bias,r2,pearson_r,calibration_intercept,calibration_slope,macro_publication_mae,macro_publication_rmse,macro_publication_absolute_bias,publication_mean_mae,publication_mean_rmse,publication_mean_r2,publication_mean_pearson_r
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_median,Global training median,leave_one_publication_out,1,286,54,0.0,0.0,349.1089891608392,318.1397999999999,430.6099579993539,-52.443487762237766,-0.08976028617170262,-0.5348490065396457,6475.46125230633,-8.245257646755137,350.1796716049383,369.23917121632985,342.28831975308645,342.28831975308645,391.9580124232993,-0.07014643771062201,-0.6503721264032267
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_median,Global training median,publication_grouped,1,286,54,0.0,0.0,336.4650772727272,295.77000000000004,417.9451553917226,-34.90231783216778,-0.02660040277833664,-0.06076255438333242,1221.0461845723325,-0.6652830044482853,347.30606604938265,366.36447671114814,339.31400370370363,339.31400370370363,386.65798828058223,-0.04140124074161933,-0.05938084522315256
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_median,Global training median,publication_grouped,2,286,54,0.0,0.0,348.24946608391605,318.91999999999996,429.72448915929294,-45.66762622377623,-0.08528311772590502,-0.21441138001799534,1899.3210048510555,-1.6423674480275041,352.89798621399177,373.13755701141025,345.97860864197537,345.97860864197537,396.9680341149488,-0.09767858076835467,-0.232170355522242
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_median,Global training median,publication_grouped,3,286,54,0.0,0.0,335.8732409090909,304.0445000000001,419.27086678573744,-36.53267727272724,-0.03312343252927952,-0.10817195337567174,1660.8880968709293,-1.2857406744235034,342.78696604938267,362.541019070454,335.4044234567901,335.4044234567901,385.14670465882494,-0.03327635041443222,-0.04181485681900687
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_median,Global training median,publication_grouped,4,286,54,0.0,0.0,351.6359688811189,300.0,432.4635182999574,-24.876264685314688,-0.09916222299886557,-0.20719936995901586,1654.7734096074153,-1.2565260782329644,347.7490379012346,367.15026747502515,340.5687160493827,340.5687160493827,392.6748395535082,-0.07406426275772038,-0.04154256496545113
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_median,Global training median,publication_grouped,5,286,54,0.0,0.0,354.66540734265726,323.6275,436.0739958968541,-34.6141297202797,-0.11759183004299012,-0.27427001296329784,1994.013534410208,-1.7497801564518412,356.7871969135802,376.3798603095079,349.6875592592592,349.6875592592592,398.92622531524137,-0.10853469947630434,-0.1690224152182211
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_median,Global training median,random_rowwise,1,286,54,0.9475524475524476,0.0,328.9141513986014,297.725,416.086404202643,-47.5434304195804,-0.017489391519935005,-0.07007406126538647,2677.348040348049,-2.758815421091727,338.3410067667415,358.4715253760639,330.2683066638608,330.2683066638608,381.5447260271357,-0.014039859224886042,-0.11618977015463704
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_median,Global training median,random_rowwise,2,286,54,0.9615384615384616,0.0,328.8809695804196,299.89,415.3044959860738,-44.79252132867132,-0.013668859156057422,-0.023405548929434698,1383.4126370920726,-0.9058144054652214,338.92217628600815,358.7026231446307,330.62467782921806,330.62467782921806,381.5031979741054,-0.013819131187252864,-0.059943702977277316
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_median,Global training median,random_rowwise,3,286,54,0.9475524475524476,0.0,332.2727828671329,305.255,419.32085213584537,-42.68023391608392,-0.03336978456031958,-0.14350884866325198,2315.1686018384194,-2.225676682525821,343.69647118967447,364.2885911910898,336.3362194612794,336.33621946127954,386.80208447784645,-0.042177585340888335,-0.2729981780870976
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_median,Global training median,random_rowwise,4,286,54,0.9545454545454546,0.0,332.0941416083916,307.00509999999997,418.5820745973261,-40.88647797202796,-0.029731721441520476,-0.11605100836404394,1977.2243250866197,-1.7415484809611879,342.8308045482604,362.4835172557477,335.31206936307524,335.31206936307524,385.4039338904894,-0.03465700685083695,-0.23217681527255554
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_median,Global training median,random_rowwise,5,286,54,0.9755244755244755,0.0,331.66396468531474,304.97,418.3771604170846,-39.45920874125875,-0.028723771049490088,-0.13318602227849405,2318.7899465210185,-2.2206639484891135,343.72467441545086,363.6247129154736,335.8160207323233,335.8160207323233,384.98218756561687,-0.032393801955551416,-0.22084739588661892
