dataset,target_family,target_key,feature_set,validation_design,model_key,model_display_name,outer_split_count,unique_selected_candidates,dominant_candidate_id,dominant_parameters_json,dominant_selection_count,dominant_selection_fraction,selection_entropy,candidate_space_size,normalized_selection_entropy
filament_diameter,raw_outcome,filament_diameter,full_retrospective,publication_grouped,rbf_svr,RBF-SVR,25,4,rbf_svr_09,"{""C"": 100.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",11,0.44,1.2800585750951914,12,0.5151334659611456
filament_diameter,raw_outcome,filament_diameter,full_retrospective,publication_grouped,ridge,Ridge regression,25,4,ridge_01,"{""alpha"": 100.0}",19,0.76,0.7938169516167373,5,0.493226203685096
filament_diameter,raw_outcome,filament_diameter,full_retrospective,random_rowwise,elastic_net,Elastic Net,25,7,elastic_net_08,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",7,0.28,1.734825878946191,9,0.789553283192102
filament_diameter,raw_outcome,filament_diameter,full_retrospective,random_rowwise,random_forest,Random Forest,25,2,random_forest_03,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}",13,0.52,0.6923469670899615,6,0.38640619959343414
filament_diameter,raw_outcome,filament_diameter,full_retrospective,random_rowwise,rbf_svr,RBF-SVR,25,2,rbf_svr_09,"{""C"": 100.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",15,0.6,0.6730116670092565,12,0.27083981889890085
filament_diameter,raw_outcome,filament_diameter,full_retrospective,random_rowwise,ridge,Ridge regression,25,3,ridge_03,"{""alpha"": 1.0}",13,0.52,0.8300282389569186,5,0.5157255415349269
filament_diameter,raw_outcome,filament_diameter,prospective_design,leave_one_publication_out,elastic_net,Elastic Net,54,6,elastic_net_03,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",47,0.8703703703703703,0.5865854168862644,9,0.26696652810856714
filament_diameter,raw_outcome,filament_diameter,prospective_design,leave_one_publication_out,random_forest,Random Forest,54,6,random_forest_04,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 300}",16,0.2962962962962963,1.6728105618694726,6,0.9336133507865153
filament_diameter,raw_outcome,filament_diameter,prospective_design,leave_one_publication_out,rbf_svr,RBF-SVR,54,4,rbf_svr_09,"{""C"": 100.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",17,0.3148148148148148,1.3571331688184567,12,0.5461505642210908
filament_diameter,raw_outcome,filament_diameter,prospective_design,leave_one_publication_out,ridge,Ridge regression,54,4,ridge_01,"{""alpha"": 100.0}",50,0.9259259259259259,0.34106840522117815,5,0.2119177152384519
filament_diameter,raw_outcome,filament_diameter,prospective_design,publication_grouped,elastic_net,Elastic Net,25,5,elastic_net_03,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",19,0.76,0.8701986518121149,9,0.39604447391858794
filament_diameter,raw_outcome,filament_diameter,prospective_design,publication_grouped,random_forest,Random Forest,25,5,random_forest_04,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 300}",8,0.32,1.547984588717382,6,0.8639466487007329
filament_diameter,raw_outcome,filament_diameter,prospective_design,publication_grouped,rbf_svr,RBF-SVR,25,4,rbf_svr_11,"{""C"": 100.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",10,0.4,1.2787799219136793,12,0.5146188980671682
filament_diameter,raw_outcome,filament_diameter,prospective_design,publication_grouped,ridge,Ridge regression,25,4,ridge_01,"{""alpha"": 100.0}",20,0.8,0.7113864571354167,5,0.4420092577908283
filament_diameter,raw_outcome,filament_diameter,prospective_design,random_rowwise,elastic_net,Elastic Net,25,6,elastic_net_04,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",9,0.36,1.6205133474808129,9,0.7375274080747012
filament_diameter,raw_outcome,filament_diameter,prospective_design,random_rowwise,random_forest,Random Forest,25,3,random_forest_05,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}",13,0.52,0.9978737678714718,6,0.556923953805801
filament_diameter,raw_outcome,filament_diameter,prospective_design,random_rowwise,rbf_svr,RBF-SVR,25,2,rbf_svr_09,"{""C"": 100.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",16,0.64,0.6534181947937018,12,0.2629548256267285
filament_diameter,raw_outcome,filament_diameter,prospective_design,random_rowwise,ridge,Ridge regression,25,5,ridge_03,"{""alpha"": 1.0}",17,0.68,1.0150318786859958,5,0.6306747659192831
