global_task_number,task_id,dataset,target_key,validation_design,repeat,outer_fold,oob_nonfinite_count,residual_fixed_intercept,between_source_variance_raw,between_source_variance,residual_variance,residual_random_intercept_icc,effective_group_size,minimum_shrinkage,mean_shrinkage,maximum_shrinkage,weighted_random_effect_mean,training_group_count,training_observation_count,task_elapsed_seconds
87,filament_diameter__prospective_design__random_rowwise__r03__f02,filament_diameter,filament_diameter,random_rowwise,3,2,0,0.09493580822474534,4093.557408273193,4093.557408273193,34724.5430742542,0.1054548614535058,4.425152838427947,0.1054548614535058,0.3059234951971627,0.7217201297861745,4.499069724245175e-16,51,229,2.02684362999571
88,filament_diameter__prospective_design__random_rowwise__r03__f03,filament_diameter,filament_diameter,random_rowwise,3,3,0,2.1294833656956054,2351.848811586894,2351.848811586894,41232.142211914776,0.0539612999258997,4.322630362188543,0.0539612999258997,0.1795571815093219,0.606308305567584,2.3271050297819875e-16,52,229,1.5095067020010902
89,filament_diameter__prospective_design__random_rowwise__r03__f04,filament_diameter,filament_diameter,random_rowwise,3,4,0,6.406418034057548,5238.388903794585,5238.388903794585,35990.290017355,0.1270569186515308,4.34215258155664,0.1270569186515308,0.3428484198810888,0.7620238259048201,1.86168402382559e-16,52,229,1.5471622180048143
90,filament_diameter__prospective_design__random_rowwise__r03__f05,filament_diameter,filament_diameter,random_rowwise,3,5,0,-2.8371998504263214,3519.6419230008382,3519.6419230008382,35649.95493062271,0.08985647557603695,4.413449781659389,0.08985647557603695,0.2688621387754077,0.7032171912696215,-8.300007939555755e-16,51,229,1.476891965001414
91,filament_diameter__prospective_design__random_rowwise__r04__f01,filament_diameter,filament_diameter,random_rowwise,4,1,0,-0.28623117483895033,4022.8476076320076,4022.8476076320076,34152.02458273842,0.10537946499390682,4.237179487179487,0.10537946499390682,0.2943007993210388,0.7121175133917548,-1.0206260787782141e-15,53,228,1.4824187359990901
92,filament_diameter__prospective_design__random_rowwise__r04__f02,filament_diameter,filament_diameter,random_rowwise,4,2,0,-1.4433547385355596,3967.313617401703,3967.313617401703,36357.23432319283,0.09838457763361128,4.338898878328624,0.09838457763361128,0.28637584672484334,0.7150808603487198,-1.86168402382559e-16,52,229,1.4490575780000654
93,filament_diameter__prospective_design__random_rowwise__r04__f03,filament_diameter,filament_diameter,random_rowwise,4,3,0,2.489632018567402,4581.698654048412,4581.698654048412,35014.10448192817,0.115711724253056,4.332220224334275,0.115711724253056,0.3191913084288719,0.7658805341224779,-1.4350481016988922e-16,52,229,2.4755877749994397
94,filament_diameter__prospective_design__random_rowwise__r04__f04,filament_diameter,filament_diameter,random_rowwise,4,4,0,2.9979441692413316,7836.375615319757,7836.375615319757,35019.05779221969,0.18285605796582902,4.2336244541484715,0.18285605796582902,0.41447291765098004,0.8579931570625258,3.102806706375983e-16,53,229,2.5585755350039108
95,filament_diameter__prospective_design__random_rowwise__r04__f05,filament_diameter,filament_diameter,random_rowwise,4,5,0,0.9751382904926768,-2946.022738822564,0.0,43625.164285752515,0.0,4.501381338561625,0.0,0.0,0.0,0.0,50,229,1.6939614459988661
96,filament_diameter__prospective_design__random_rowwise__r05__f01,filament_diameter,filament_diameter,random_rowwise,5,1,0,3.6785526832251776,8843.632460543711,8843.632460543711,40748.68272424279,0.1783266707269332,4.313553491572068,0.1783266707269332,0.42096653721727145,0.8443753382473702,-9.349246523159212e-17,52,228,1.5271555639992584
