dataset,target_key,feature_set,model_variant,task_id,observed_feature_count,minimum_task_rank,maximum_task_rank,task_rank_sum,minimum_task_importance,maximum_task_importance,original_feature_count,expected_rank_sum,feature_count_matches_inventory,minimum_rank_valid,maximum_rank_valid,rank_sum_valid
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r02__f05,44,1.0,43.5,990.0,0.0,2.433119970120694,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r03__f01,44,1.0,42.5,990.0,0.0,2.2237661229532604,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r03__f02,44,1.0,42.0,990.0,0.0,2.113304806681,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r03__f03,44,1.0,43.0,990.0,0.0,2.6871130730200417,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r03__f04,44,1.0,43.0,990.0,0.0,2.3971167382719423,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r03__f05,44,1.0,43.0,990.0,0.0,2.2924958151623613,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r04__f01,44,1.0,42.5,990.0,0.0,1.8126214273257255,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r04__f02,44,1.0,43.0,990.0,0.0,2.88911264293923,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r04__f03,44,1.0,42.5,990.0,0.0,2.482880974201234,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r04__f04,44,1.0,42.5,990.0,0.0,1.900868857533549,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r04__f05,44,1.0,43.5,990.0,0.0,1.6402649352257388,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r05__f01,44,1.0,41.5,990.0,0.0,1.8720824518631507,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r05__f02,44,1.0,42.5,990.0,0.0,3.144144980408347,44,990.0,True,True,True,True
