dataset,target_family,target_key,target_column,target_label,unit,feature_set,validation_design,model_key,meta_primary_source_id,repeat_count,source_rows,source_mae,source_rmse,source_bias,source_true_mean,source_predicted_mean
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1002/adhm.201801631,1,3,4.3960886604136675,4.867543576541749,3.4305689955106637,77.80333333333334,81.233902328844
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1002/adhm.201901544,1,4,6.549468888888864,7.238785656757021,6.549468888888864,80.975,87.52446888888886
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1002/adhm.201901792,1,4,9.030711666666615,10.227457775730127,-9.030711666666615,92.975,83.94428833333339
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1002/adma.201305506,1,10,4.978307064265533,6.6830755587750375,3.673021725669494,74.65,78.32302172566949
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1002/adma.201503310,1,9,20.887462163433227,28.110483405149225,20.48390622574947,61.388888888888886,81.87279511463836
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1002/adma.201604983,1,15,6.648377053551381,7.8153877173255974,-6.648377053551381,92.08,85.43162294644863
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1002/adma.201703443,1,13,14.838284859584824,14.88390550304493,-14.838284859584824,96.76923076923077,81.93094590964594
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1002/biot.200900004,1,12,10.058626047178167,13.117504868932993,8.704544490740778,67.91666666666667,76.62121115740744
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1002/jbm.a.34420,1,2,1.5999999999999943,2.211735767773785,1.5270150969947593,83.0,84.52701509699476
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1002/jbm.a.36036,1,4,24.13092542568542,31.710663075402174,16.74310085137084,63.925,80.66810085137084
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1002/mabi.201600472,1,42,12.263990899900193,13.958289309063694,-9.171311075781123,92.12452380952381,82.95321273374267
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1002/smll.201905505,1,18,15.246702417695547,18.021377922303824,-7.34813198853627,86.60555555555555,79.25742356701929
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1002/term.1682,1,4,7.868354542581634,9.631386430651013,-7.868354542581634,90.5,82.63164545741836
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1007/s00289-020-03421-y,1,1,13.156008333333418,13.156008333333418,-13.156008333333418,95.25,82.09399166666658
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1007/s10439-016-1704-5,1,30,16.729843582140067,19.708035491618936,12.527089923490061,69.51666666666667,82.04375659015673
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1007/s10856-019-6258-2,1,3,3.6600855787422453,4.9882133603920575,-3.646923402893402,88.46666666666665,84.81974326377326
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1007/s13205-018-1341-9,1,3,5.841042011383716,7.145963097237737,-5.607479296937659,88.85666666666667,83.249187369729
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1016/j.actbio.2014.06.034,1,9,22.074596494709013,31.17584917360582,8.86688652998231,74.44444444444444,83.31133097442677
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1016/j.actbio.2014.09.023,1,4,9.405959910714323,10.18017698704369,-9.405959910714323,92.05,82.64404008928568
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1016/j.actbio.2014.09.033,1,4,11.114417499999984,12.535250645015696,-10.464516269841258,93.0,82.53548373015875
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1016/j.actbio.2018.10.028,1,8,8.521537213989767,9.800919563465653,4.313367824259153,83.0625,87.37586782425915
