dataset,target_family,target_key,target_column,target_label,unit,feature_set,validation_design,repeat,model_key,model_display_name,feature_set_display_name,validation_display_name,prediction_rows,publication_count,mae,median_absolute_error,rmse,bias,r2,pearson_r,calibration_intercept,calibration_slope,macro_publication_mae,macro_publication_rmse,macro_publication_absolute_bias,publication_mean_mae,publication_mean_rmse,publication_mean_r2,publication_mean_pearson_r
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,publication_grouped,1,ridge,Ridge regression,Full retrospective,Publication-grouped,608,75,13.875463298192097,11.701116401317417,17.847341729781782,0.837172216107204,-0.10342397160591399,0.19091618675530383,52.32028929534901,0.3399189590316791,13.859871581702953,15.44341249569018,10.9437150172558,10.943715017255796,15.226271873708155,-0.7265429658734062,0.05859547875302647
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,publication_grouped,2,elastic_net,Elastic Net,Full retrospective,Publication-grouped,608,75,13.241850652409067,11.396789796970936,17.089543346308798,1.3743721681881305,-0.011710487580173456,0.14764828170685793,41.313546361315076,0.47343669312115905,12.956381524556518,14.531419594127792,10.246987148014496,10.246987148014497,12.586930594347441,-0.17985844435567855,0.005781395956785981
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,publication_grouped,2,random_forest,Random Forest,Full retrospective,Publication-grouped,608,75,13.214486019398578,10.897061587301629,17.496861152051306,1.9291220846828572,-0.06051209735334062,0.07595590201919653,59.500926312121756,0.2473990870438317,12.154130800073249,13.810016150482573,9.866319920365331,9.86631992036533,12.30780886933662,-0.1281106961585894,0.1343013545948028
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,publication_grouped,2,rbf_svr,RBF-SVR,Full retrospective,Publication-grouped,608,75,12.707818775516023,9.754681553357777,17.655152123075226,5.341269319835167,-0.07978742117514415,0.1387328093837182,2.6179962696051455,0.9064010217267621,11.454397792487994,13.26492229928775,9.376621690309658,9.37662169030966,12.056711186344154,-0.08254995331766368,0.02602010095831218
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,publication_grouped,2,ridge,Ridge regression,Full retrospective,Publication-grouped,608,75,14.362730275816531,11.354464033668414,18.99960557927713,2.7653068803804444,-0.25050233414245526,0.18449186331844378,57.725359524127406,0.2664228343081414,14.958199088167326,16.604341438544083,12.140849130898163,12.14084913089816,20.33956037238884,-2.0808698603945226,-0.025350101048243767
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,publication_grouped,3,elastic_net,Elastic Net,Full retrospective,Publication-grouped,608,75,13.058249502436151,10.825511282255164,17.042566547365812,0.17219658219261583,-0.006156026969295292,0.2756472014401768,40.52634397542999,0.49041943646577474,12.640353156827315,14.32626781487133,10.199359540460758,10.199359540460756,12.446820452369279,-0.153737688954646,0.25603622183080116
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,publication_grouped,3,random_forest,Random Forest,Full retrospective,Publication-grouped,608,75,12.401255226953948,10.525780932539668,16.493320277159395,1.434290234909095,0.057651549226808374,0.25467419022609894,-4.406481702933273,1.0366354497830377,11.148129166457313,12.872444971929708,8.802769195587532,8.80276919558753,11.018761036101049,0.09581820314466027,0.3204525001110198
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,publication_grouped,3,rbf_svr,RBF-SVR,Full retrospective,Publication-grouped,608,75,12.88143264201256,10.00307235219826,17.86791568929079,5.2117820894072855,-0.10596943585314467,0.0326519157679771,60.758655092895395,0.22302097678732,11.3827658786926,13.20248743300988,9.36252258524991,9.36252258524991,12.155688793565215,-0.10039694496915441,-0.017134739464476176
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,publication_grouped,3,ridge,Ridge regression,Full retrospective,Publication-grouped,608,75,14.18998783768904,10.867518550667654,19.12476080434357,1.3039778504040687,-0.2670313484700546,0.29694812426565403,52.607961387555804,0.334408387395115,13.4723937907576,15.337426103795815,11.204274543466672,11.20427454346667,15.44648154917489,-0.7768442868676029,0.2505545019073606
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,publication_grouped,4,elastic_net,Elastic Net,Full retrospective,Publication-grouped,608,75,13.786534693073884,12.296282747667476,17.367903950955714,-0.4212521096001929,-0.04493711088058294,0.08865002487649327,57.53126714685433,0.2795806631499983,13.348182037845653,14.896400617056333,10.687022674619055,10.687022674619053,13.114984955841416,-0.28093125821159437,0.011954823900033952
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,publication_grouped,4,random_forest,Random Forest,Full retrospective,Publication-grouped,608,75,12.871558309914226,10.462660648148109,16.990926508743573,1.764175901039264,-6.78338492645647e-05,0.15986183201320647,33.46595083383787,0.5675094676346514,11.85939677244127,13.540815003340391,9.615868983438103,9.615868983438103,11.759294626973322,-0.029799729930213292,0.19089517687381438
